country,govExpend
Australia,11949.619
Austria,4934.9859
Belgium,1614.8023
Chile,1994.1776
Czech Republic,1723.154856
Denmark,6392.568
Estonia,228.7147
Finland,3878.8195
France,24500.584
Germany,10671.4052
Hungary,1096.044876
Iceland,172.401278
Ireland,2370.096
Israel,2054.5
Italy,12298.0776
Japan,28225.43858
Korea,8146.516176
Mexico,7246.69722
Netherlands,11247.9498
New Zealand,2974.7025
Norway,7004.53
Poland,4592.2275
Portugal,1933.4529
Slovak Republic,29.4309
Slovenia,535.7459
Spain,2293.4472
Sweden,8061.948
Switzerland,2836.2698
United Kingdom,29606.775
United States,95354.93
Russia,7199.43149